Titulo;Link;Data
Barcelona v Atlético Madrid: La Liga – live!;https://www.theguardian.com/football/live/2019/apr/06/barcelona-v-atletico-madrid-la-liga-live;2019-04-06T18:16:18Z
Polish general who fought with Washington may have been a woman;https://www.theguardian.com/us-news/2019/apr/06/casimir-pulaski-polish-general-woman-intersex;2019-04-06T18:13:37Z
Bayern Munich v Borussia Dortmund: Bundesliga – live!;https://www.theguardian.com/football/live/2019/apr/06/bayern-munich-v-borussia-dortmund-bundesliga-live;2019-04-06T18:13:31Z
County cricket: Notts v Yorkshire, Somerset v Kent and more – live!;https://www.theguardian.com/sport/live/2019/apr/06/county-cricket-notts-v-yorkshire-somerset-v-kent-and-more-live;2019-04-06T18:07:57Z
Rapper Tamer Nafar urges Palestinians not to boycott Israel poll;https://www.theguardian.com/world/2019/apr/06/tamer-nafar-israel-elections-benjamin-netanyahu;2019-04-06T18:00:08Z
For me, fear about drug supplies is real. I could go blind | Harriet Lane;https://www.theguardian.com/commentisfree/2019/apr/06/for-me-fear-about-drug-supplies-is-real-i-could-go-blind;2019-04-06T18:00:01Z
Grand National 2019: Tiger Roll wins the big race again at Aintree – as it happened;https://www.theguardian.com/sport/live/2019/apr/06/grand-national-day-2019-live;2019-04-06T17:48:13Z
Man who fled to UK as child has deportation to DRC halted;https://www.theguardian.com/world/2019/apr/06/im-so-scared-man-who-fled-congo-for-uk-as-child-to-be-deported;2019-04-06T17:42:44Z
Football League: Leeds slip to third as Swansea leave Pulis on the brink;https://www.theguardian.com/football/2019/apr/06/football-league-leeds-birmingham-swansea-sheffield-united-middlesbrough-tony-pulis;2019-04-06T17:30:11Z
Campaigners head to court to stop arms sales to Saudi Arabia;https://www.theguardian.com/world/2019/apr/06/campaigners-court-bid-to-stop-uk-arms-sales-to-saudi-arabia;2019-04-06T17:28:50Z
